chr1:12610581-12620582 for	chr1:12644296-12654297 rev
chr15:7584972-7590200 for	chr15:7590395-7595623 for
chr15:7605279-7612926 for	chr15:7612428-7620075 for
chr15:7664148-7669524 for	chr15:7689441-7694817 for
chr15:7677452-7683251 for	chr15:7755038-7760837 for
chr15:7686910-7692470 for	chr15:7695857-7701417 for
chr15:7686340-7691408 for	chr15:7767489-7772557 for
chr15:7801728-7808041 for	chr15:7808940-7815253 for
chr15:7850157-7857622 for	chr15:7870587-7878052 for
chr15:7976108-7984923 for	chr15:8001247-8010062 for
chr15:7987927-7999498 for	chr15:8013066-8024637 for
chr15:8509806-8515092 for	chr15:11343054-11348340 for
chr15:8544197-8550605 for	chr15:8551435-8557843 for
chr15:8761208-8771849 for	chr15:8773787-8784428 for
chr15:8888079-8895109 for	chr15:11794579-11801609 for
chr15:9146195-9154543 for	chr15:9153401-9161749 for
chr15:9164163-9169540 for	chr15:9187425-9192802 for
chr15:9174591-9179957 for	chr15:9181752-9187118 for
chr15:9448093-9463189 for	chr15:9466018-9481114 for
chr15:9593607-9598697 for	chr15:9611471-9616561 for
chr15:9766743-9772014 for	chr15:9795400-9800671 for
chr15:9781115-9786351 for	chr15:9802607-9807843 for
chr15:9900469-9917488 for	chr15:9925503-9942522 for
chr15:9949946-9963023 for	chr15:9965975-9979052 for
chr15:10485712-10491534 for	chr15:10491098-10496920 for
chr15:10504868-10510971 for	chr15:10510297-10516400 for
chr15:10535439-10542368 for	chr15:10542642-10549571 for
chr15:10608214-10614853 for	chr15:10613628-10620267 for
chr15:10755464-10764638 for	chr15:10872995-10882169 for
chr15:10802829-10810670 for	chr15:10922189-10930030 for
chr15:10823539-10828776 for	chr15:10944668-10949905 for
chr15:11354990-11365211 for	chr15:11365756-11375977 for
chr15:11429103-11438793 for	chr15:11733729-11743419 for
chr15:11434327-11440596 for	chr15:11443353-11449622 for
chr15:11802872-11811142 for	chr15:11804666-11812936 for
chr15:11971340-11978279 for	chr15:11985737-11992676 for
chr15:12013108-12019199 for	chr15:13008123-13014214 for
chr15:12019299-12025770 for	chr15:13014314-13020785 for
chr15:12026075-12040741 for	chr15:13021090-13035756 for
chr15:12046427-12057065 for	chr15:13041442-13052080 for
chr15:12057066-12062147 for	chr15:13052081-13057162 for
chr15:12066375-12074844 for	chr15:13064988-13073457 for
chr15:12083004-12088383 for	chr15:13087004-13092383 for
chr15:12094611-12100096 for	chr15:13100390-13105875 for
chr15:12103145-12108886 for	chr15:13108924-13114665 for
chr15:12141791-12152859 for	chr15:13158354-13169422 for
chr15:12166398-12174024 for	chr15:13181172-13188798 for
chr15:12181409-12187345 for	chr15:13210425-13216361 for
chr15:12195064-12200554 for	chr15:13209863-13215353 for
chr15:12196821-12201852 for	chr15:12200384-12205415 for
chr15:12206922-12215429 for	chr15:13214595-13223102 for
chr15:12239692-12250060 for	chr15:13252763-13263131 for
chr15:12256189-12261461 for	chr15:13267441-13272713 for
chr15:12261462-12268330 for	chr15:13272714-13279582 for
chr15:12271669-12284858 for	chr15:13277564-13290753 for
chr15:12298959-12306104 for	chr15:13304854-13311999 for
chr15:12306105-12312642 for	chr15:13312000-13318537 for
chr15:12318115-12325764 for	chr15:13324010-13331659 for
chr15:12328744-12335418 for	chr15:13334634-13341308 for
chr15:12335419-12343681 for	chr15:13341309-13349571 for
chr15:12343682-12353302 for	chr15:13349572-13359192 for
chr15:12366823-12372232 for	chr15:13422575-13427984 for
chr15:12374642-12408714 for	chr15:13367960-13402032 for
chr15:12408715-12416138 for	chr15:13402033-13409456 for
chr15:12380715-12388014 for	chr15:13374033-13381332 for
chr15:12430742-12439967 for	chr15:13438466-13447691 for
chr15:13376032-13381332 for	chr15:13438466-13443766 for
chr15:12439968-12445172 for	chr15:13451260-13456464 for
chr15:12446352-12452387 for	chr15:13457644-13463679 for
chr15:12452388-12458657 for	chr15:13463680-13469949 for
chr15:12467721-12475239 for	chr15:13479018-13486536 for
chr15:12483837-12495249 for	chr15:13498770-13510182 for
chr15:12504659-12510928 for	chr15:13525019-13531288 for
chr15:12513006-12518722 for	chr15:13535170-13540886 for
chr15:12523107-12530869 for	chr15:13561401-13569163 for
chr15:12556829-12565665 for	chr15:13598710-13607546 for
chr15:12572077-12579433 for	chr15:13615781-13623137 for
chr15:12582097-12593487 for	chr15:13625801-13637191 for
chr15:12593488-12601819 for	chr15:13637192-13645523 for
chr15:12612744-12622512 for	chr15:13652916-13662684 for
chr15:12655493-12662557 for	chr15:13709987-13717051 for
chr15:12662558-12668032 for	chr15:13717052-13722526 for
chr15:12677130-12693124 for	chr15:13731639-13747633 for
chr15:12694994-12702155 for	chr15:13749503-13756664 for
chr15:12706947-12716684 for	chr15:13761456-13771193 for
chr15:12741837-12755325 for	chr15:13803477-13816965 for
chr15:12755326-12766251 for	chr15:13816966-13827891 for
chr15:12770451-12779627 for	chr15:13832091-13841267 for
chr15:12779628-12787236 for	chr15:13841268-13848876 for
chr15:12806558-12812230 for	chr15:13866394-13872066 for
chr15:12812367-12819418 for	chr15:13879349-13886400 for
chr15:12819874-12826139 for	chr15:13892228-13898493 for
chr15:12826100-12832564 for	chr15:13898449-13904913 for
chr15:12832565-12838601 for	chr15:13904914-13910950 for
chr15:12845243-12852665 for	chr15:13917602-13925024 for
chr15:12847032-12856255 for	chr15:13924818-13934041 for
chr15:12868996-12875621 for	chr15:13941635-13948260 for
chr15:12903075-12908530 for	chr15:13975726-13981181 for
chr15:12925266-12937047 for	chr15:13997946-14009727 for
chr15:12944390-12952422 for	chr15:14011722-14019754 for
chr15:12958442-12966965 for	chr15:14036637-14045160 for
chr15:12997854-13004288 for	chr15:14083215-14089649 for
chr15:13111194-13116642 for	chr15:13116576-13122024 for
chr15:12181158-12186203 for	chr15:13195937-13200982 for
chr15:13701181-13709547 for	chr15:13708312-13716678 for
chr15:14018814-14024852 for	chr15:14029677-14035715 for
chr15:14056295-14063713 for	chr15:14063461-14070879 for
chr15:14339232-14345644 for	chr15:14346348-14352760 for
chr15:14357573-14372954 for	chr15:14382080-14397461 for
chr15:14424718-14435739 for	chr15:14434349-14445370 for
chr15:15811525-15817941 for	chr15:15822879-15829295 for
chr15:16005612-16014859 for	chr15:16023252-16032499 for
chr15:16049352-16059928 for	chr15:16053791-16064367 for
chr15:16098774-16104649 for	chr15:16103096-16108971 for
chr15:16113103-16119179 for	chr15:16123286-16129362 for
chr15:16146542-16152354 for	chr15:16163833-16169645 for
chr15:16156678-16162857 for	chr15:16169646-16175825 for
chr15:16213416-16218614 for	chr15:16217738-16222936 for
chr15:16231034-16236498 for	chr15:16239677-16245141 for
chr15:16247925-16257240 for	chr15:16252247-16261562 for
chr15:16258108-16264012 for	chr15:16262429-16268333 for
chr15:16604709-16610751 for	chr15:16610172-16616214 for
chr15:16623753-16630438 for	chr15:16630581-16637266 for
chr15:16638893-16644258 for	chr15:16652550-16657915 for
chr15:16677336-16682367 for	chr15:16680751-16685782 for
chr15:16687860-16697417 for	chr15:16694694-16704251 for
chr15:16716911-16723738 for	chr15:16720325-16727152 for
chr15:16754429-16760198 for	chr15:16757843-16763612 for
chr15:16784942-16790142 for	chr15:16788356-16793556 for
chr15:16809127-16814825 for	chr15:16812544-16818242 for
chr15:16813783-16819868 for	chr15:16970810-16976895 for
chr15:16819869-16825751 for	chr15:16976896-16982778 for
chr15:16871806-16877686 for	chr15:17028843-17034723 for
chr15:16878148-16883267 for	chr15:17035185-17040304 for
chr15:16887305-16894132 for	chr15:17054584-17061411 for
chr15:16890818-16897645 for	chr15:17054683-17061510 for
chr15:16897590-16910475 for	chr15:16931730-16944615 for
chr15:16906326-16916398 for	chr15:16909740-16919812 for
chr15:16901401-16907788 for	chr15:16935541-16941928 for
chr15:16942770-16948000 for	chr15:16953012-16958242 for
chr15:16902912-16908629 for	chr15:16947294-16953011 for
chr15:17328519-17339711 for	chr15:17353700-17364892 for
chr15:17339712-17347765 for	chr15:17364893-17372946 for
chr15:17347900-17354812 for	chr15:17373081-17379993 for
chr15:17424600-17442082 for	chr15:17442478-17459960 for
chr15:17457295-17463903 for	chr15:17465646-17472254 for
chr15:17465646-17471820 for	chr15:17495813-17501987 for
chr15:17429108-17435920 for	chr15:17463688-17470500 for
chr15:17463688-17471820 for	chr15:17493855-17501987 for
chr15:17468802-17476553 for	chr15:17474596-17482347 for
chr15:17436709-17441906 for	chr15:17454587-17459784 for
chr15:17480390-17485719 for	chr15:17485504-17490833 for
chr15:17428360-17435920 for	chr15:17446238-17453798 for
chr15:17446238-17453798 for	chr15:17493107-17500667 for
chr15:17505312-17511837 for	chr15:17526448-17532973 for
chr15:17572656-17579609 for	chr15:17641015-17647968 for
chr15:17633344-17642622 for	chr15:17641015-17650293 for
chr15:17539245-17547844 for	chr15:17544359-17552958 for
chr15:17553828-17563968 for	chr15:17556385-17566525 for
chr15:17574065-17579609 for	chr15:17642424-17647968 for
chr15:17634753-17640844 for	chr15:17642424-17648515 for
chr15:17633174-17640297 for	chr15:17640845-17647968 for
chr15:17594477-17601129 for	chr15:17640845-17647497 for
chr15:17579609-17587823 for	chr15:17627516-17635730 for
chr15:17582166-17588752 for	chr15:17627516-17634102 for
chr15:17580153-17588752 for	chr15:17625503-17634102 for
chr15:17593587-17601129 for	chr15:17632284-17639826 for
chr15:17557144-17562257 for	chr15:17559701-17564814 for
chr15:17554587-17559700 for	chr15:17559701-17564814 for
chr15:17541046-17548716 for	chr15:17606848-17614518 for
chr15:17609405-17617831 for	chr15:17614519-17622945 for
chr15:17614519-17620388 for	chr15:17640089-17645958 for
chr15:17610161-17620388 for	chr15:17635731-17645958 for
chr15:17531574-17538465 for	chr15:17635731-17642622 for
chr15:17582710-17587823 for	chr15:17620389-17625502 for
chr15:17612718-17625502 for	chr15:17620389-17633173 for
chr15:17617832-17628059 for	chr15:17628060-17638287 for
chr15:17582710-17588752 for	chr15:17628060-17634102 for
chr15:17630617-17642854 for	chr15:17638288-17650525 for
chr15:17647022-17653625 for	chr15:17652132-17658735 for
chr15:17660745-17666572 for	chr15:17716319-17722146 for
chr15:17671007-17676776 for	chr15:17676121-17681890 for
chr15:17662115-17667174 for	chr15:17681891-17686950 for
chr15:17681891-17688362 for	chr15:17720246-17726717 for
chr15:17714476-17721603 for	chr15:17737489-17744616 for
chr15:17717033-17723276 for	chr15:18110274-18116517 for
chr15:17718530-17724188 for	chr15:17733872-17739530 for
chr15:17719402-17724703 for	chr15:18110086-18115387 for
chr15:17661459-17666572 for	chr15:18110274-18115387 for
chr15:17719590-17725305 for	chr15:18110274-18115989 for
chr15:17722906-17728019 for	chr15:18163370-18168483 for
chr15:17785074-17791618 for	chr15:17943371-17949915 for
chr15:17789588-17801862 for	chr15:17871881-17884155 for
chr15:17801863-17809298 for	chr15:17884156-17891591 for
chr15:17809299-17822935 for	chr15:17891592-17905228 for
chr15:17822936-17844018 for	chr15:17905229-17926311 for
chr15:17844016-17863566 for	chr15:17926310-17945860 for
chr15:17863567-17871081 for	chr15:17945861-17953375 for
chr15:17986926-17993187 for	chr15:17992040-17998301 for
chr15:18074883-18082437 for	chr15:18099245-18106799 for
chr15:18122123-18132484 for	chr15:18136785-18147146 for
chr15:18132485-18137573 for	chr15:18147147-18152235 for
chr15:18161155-18167209 for	chr15:18166269-18172323 for
chr15:18221042-18227276 for	chr15:18226836-18233070 for
chr15:18241963-18249809 for	chr15:18250824-18258670 for
chr15:19484625-19491330 for	chr15:20263673-20270378 rev
chr15:21459718-21469054 for	chr15:21528384-21537720 rev
chr15:21592772-21603155 for	chr15:21644185-21654568 rev
chr15:21604070-21610797 for	chr15:21636543-21643270 rev
chr15:26705453-26714950 for	chr15:26886389-26895886 rev
chr15:26750677-26760875 for	chr15:26773477-26783675 for
chr15:26752932-26758631 for	chr15:26758632-26764331 for
chr15:26758632-26768582 for	chr15:26764332-26774282 for
chr15:26751522-26758631 for	chr15:26757222-26764331 for
chr15:28734354-28741019 for	chr15:30547667-30554332 rev
chr15:28777529-28784232 for	chr15:28938775-28945478 rev
chr15:42006016-42011920 for	chr15:42105483-42111387 for
chr15:72481741-72488306 for	chr15:72506020-72512585 for
chr15:72491414-72497788 for	chr15:72515694-72522068 for
chr15:72506022-72513154 for	chr15:72530299-72537431 for
chr15:82628100-82634258 for	chr15:82827958-82834116 rev
chr15:82669591-82683222 for	chr15:82779007-82792638 rev
chr16:2572147-2577659 for	chr16:2666849-2672361 rev
chr16:2585915-2591703 for	chr16:2652803-2658591 rev
chr16:2594097-2599907 for	chr16:2644600-2650410 rev
chr16:2601729-2606990 for	chr16:2637512-2642773 rev
chr16:16287549-16293798 for	chr16:18437627-18443876 rev
chr16:16297500-16305323 for	chr16:18426099-18433922 rev
chr16:16312687-16317737 for	chr16:18413693-18418743 rev
chr16:20425034-20432296 for	chr16:20453304-20460566 rev
chr16:21339924-21347022 for	chr16:21683210-21690308 for
chr16:21379149-21389361 for	chr16:21722423-21732635 for
chr16:21469131-21475371 for	chr16:22676306-22682546 rev
chr16:21481210-21489054 for	chr16:22662617-22670461 rev
chr16:21601746-21607300 for	chr16:22887722-22893276 rev
chr16:22426367-22432717 for	chr16:22878163-22884513 rev
chr16:28623290-28628626 for	chr16:28737229-28742565 for
chr16:28662573-28669288 for	chr16:29007034-29013749 rev
chr16:28669289-28682104 for	chr16:28994218-29007033 rev
chr16:28958229-28967700 for	chr16:29072290-29081761 for
chr16:29732860-29738761 for	chr16:30576933-30582834 for
chr16:30488859-30495735 for	chr16:30590828-30597704 for
chr16:29746747-29756495 for	chr16:30590828-30600576 for
chr16:29811719-29816994 for	chr16:30553877-30559152 for
chr16:30553877-30559152 for	chr16:30655846-30661121 for
chr16:30482616-30495735 for	chr16:30584585-30597704 for
chr16:30523116-30528763 for	chr16:30625085-30630732 for
chr16:30541022-30547016 for	chr16:30642992-30648986 for
chr16:30546994-30564139 for	chr16:30648963-30666108 for
chr16:30564140-30571573 for	chr16:30666109-30673542 for
chr16:32830163-32835888 for	chr16:34642835-34648560 rev
chr16:33078943-33086922 for	chr16:33612208-33620187 rev
chr16:33089778-33097840 for	chr16:33601290-33609352 rev
chr16:33112672-33118804 for	chr16:33580324-33586456 rev
chr16:33131821-33138704 for	chr16:33560416-33567299 rev
chr16:33138705-33144631 for	chr16:33554489-33560415 rev
chr16:33147145-33152215 for	chr16:33546904-33551974 rev
chr16:33181567-33190543 for	chr16:33508575-33517551 rev
chr16:33193378-33201615 for	chr16:33497503-33505740 rev
chr16:33718350-33724219 for	chr16:35113842-35119711 for
chr16:33749461-33755406 for	chr16:35144948-35150893 for
chr16:33961391-33966562 for	chr16:35359090-35364261 for
chr16:33988756-33995251 for	chr16:35386444-35392939 for
chr16:34721518-34726564 for	chr16:34855366-34860412 rev
chr16:35994839-36000477 for	chr16:35999928-36005566 for
chr16:36043485-36052098 for	chr16:36051961-36060574 for
chr16:36085263-36092480 for	chr16:36101543-36108760 for
chr16:36180964-36188186 for	chr16:36201346-36208568 for
chr16:36181328-36188121 for	chr16:36201710-36208503 for
chr16:36201710-36208503 for	chr16:36206805-36213598 for
chr16:36421630-36427759 for	chr16:36430463-36436592 for
chr16:36446577-36452031 for	chr16:36472060-36477514 for
chr16:36578813-36585154 for	chr16:36589007-36595348 for
chr16:36620786-36644106 for	chr16:36713760-36737080 for
chr16:36645757-36656648 for	chr16:36738729-36749620 for
chr16:36680067-36696268 for	chr16:36773032-36789233 for
chr16:36695229-36714008 for	chr16:36785484-36804263 for
chr16:36868267-36874762 for	chr16:36870978-36877473 for
chr16:36929872-36934990 for	chr16:36938367-36943485 for
chr16:36972285-36978989 for	chr16:36983836-36990540 for
chr16:37002751-37008288 for	chr16:37007848-37013385 for
chr16:37165179-37171545 for	chr16:37175373-37181739 for
chr16:37661170-37666892 for	chr16:37676453-37682175 for
chr16:37664051-37669861 for	chr16:37692919-37698729 for
chr16:37661457-37666896 for	chr16:37671646-37677085 for
chr16:37671646-37677081 for	chr16:37676740-37682175 for
chr16:37801345-37806386 for	chr16:37806446-37811487 for
chr16:39504379-39510714 for	chr16:39510695-39517030 for
chr16:39605172-39610395 for	chr16:39671570-39676793 for
chr16:39635244-39640891 for	chr16:39714306-39719953 for
chr16:39654062-39659182 for	chr16:39750680-39755800 for
chr16:39659183-39666486 for	chr16:39755801-39763104 for
chr16:39699246-39704319 for	chr16:47912729-47917802 for
chr16:39898189-39903550 for	chr16:39924907-39930268 for
chr16:39908420-39914939 for	chr16:39934701-39941220 for
chr16:39915103-39920972 for	chr16:39931198-39937067 for
chr16:39951245-39956456 for	chr16:39976538-39981749 for
chr16:39983191-39996521 for	chr16:39995860-40009190 for
chr16:40257131-40263960 for	chr16:40263243-40270072 for
chr16:40338144-40351257 for	chr16:40350919-40364032 for
chr16:40500522-40506827 for	chr16:40509598-40515903 for
chr16:40576671-40583345 for	chr16:40597767-40604441 for
chr16:40584586-40591665 for	chr16:40590974-40598053 for
chr16:40645159-40650308 for	chr16:40651271-40656420 for
chr16:41010505-41016432 for	chr16:41016617-41022544 for
chr16:41583199-41588273 for	chr16:47599935-47605009 for
chr16:41619694-41628404 for	chr16:41662104-41670814 for
chr16:41637093-41643726 for	chr16:41679500-41686133 for
chr16:41879887-41887614 for	chr16:41965867-41973594 for
chr16:41887605-41892829 for	chr16:46477205-46482429 for
chr16:41895403-41902134 for	chr16:42990002-42996733 for
chr16:41902288-41907560 for	chr16:44273472-44278744 for
chr16:44287325-44298268 for	chr16:46519241-46530184 for
chr16:41907837-41927823 for	chr16:44278181-44298167 for
chr16:44278181-44285686 for	chr16:47068412-47075917 for
chr16:41940699-41947596 for	chr16:46451450-46458347 for
chr16:46444311-46450887 for	chr16:46451450-46458026 for
chr16:41984981-41993316 for	chr16:44270203-44278538 for
chr16:42005228-42015257 for	chr16:44289614-44299643 for
chr16:44289614-44299643 for	chr16:46521530-46531559 for
chr16:41916636-41923388 for	chr16:46506232-46512984 for
chr16:44286980-44293732 for	chr16:46506232-46512984 for
chr16:42022971-42030445 for	chr16:42926551-42934025 for
chr16:42055495-42060620 for	chr16:46566377-46571502 for
chr16:42067553-42083315 for	chr16:44361302-44377064 for
chr16:42081346-42091715 for	chr16:42100073-42110442 for
chr16:42091716-42100644 for	chr16:42110443-42119371 for
chr16:42119627-42124644 for	chr16:44394454-44399471 for
chr16:44394454-44399471 for	chr16:46587513-46592530 for
chr16:42138032-42152335 for	chr16:44420870-44435173 for
chr16:42154609-42160894 for	chr16:44437447-44443732 for
chr16:42158591-42166493 for	chr16:43170723-43178625 for
chr16:42185789-42194640 for	chr16:46654027-46662878 for
chr16:45390182-45395686 for	chr16:47528944-47534448 for
chr16:45382606-45388110 for	chr16:47528944-47534448 for
chr16:42220894-42227273 for	chr16:43261424-43267803 for
chr16:42222912-42228842 for	chr16:45390570-45396500 for
chr16:45390570-45397420 for	chr16:47529332-47536182 for
chr16:44573106-44582808 for	chr16:44590780-44600482 for
chr16:44590780-44597010 for	chr16:47529952-47536182 for
chr16:42236617-42242147 for	chr16:46706110-46711640 for
chr16:42257092-42262517 for	chr16:43308084-43313509 for
chr16:42265586-42272445 for	chr16:44633024-44639883 for
chr16:42274879-42280612 for	chr16:44642317-44648050 for
chr16:42303132-42309562 for	chr16:43336635-43343065 for
chr16:42312844-42320353 for	chr16:44680282-44687791 for
chr16:42327791-42332881 for	chr16:43361294-43366384 for
chr16:42332271-42339144 for	chr16:42344495-42351368 for
chr16:42342174-42347535 for	chr16:46823687-46829048 for
chr16:42348286-42353523 for	chr16:46829799-46835036 for
chr16:42355324-42360586 for	chr16:44728874-44734136 for
chr16:42363598-42369048 for	chr16:46845105-46850555 for
chr16:42370648-42375956 for	chr16:44750299-44755607 for
chr16:42375957-42383664 for	chr16:44755608-44763315 for
chr16:42385413-42428092 for	chr16:42441573-42484252 for
chr16:42428093-42439311 for	chr16:42484253-42495471 for
chr16:42482638-42488337 for	chr16:43457881-43463580 for
chr16:44799322-44805198 for	chr16:45420431-45426307 for
chr16:42495320-42501948 for	chr16:44837911-44844539 for
chr16:42498234-42503958 for	chr16:46936631-46942355 for
chr16:43485697-43491421 for	chr16:46936631-46942355 for
chr16:44846550-44852434 for	chr16:45467659-45473543 for
chr16:42510159-42517230 for	chr16:46948507-46955578 for
chr16:42511563-42517230 for	chr16:46949911-46955578 for
chr16:43498977-43505585 for	chr16:46949911-46956519 for
chr16:42511718-42520368 for	chr16:44860398-44869048 for
chr16:43499132-43505585 for	chr16:44860398-44866851 for
chr16:42534426-42542096 for	chr16:44883106-44890776 for
chr16:42544019-42549729 for	chr16:43531433-43537143 for
chr16:42546662-42553058 for	chr16:44895342-44901738 for
chr16:42555726-42565519 for	chr16:44904406-44914199 for
chr16:43543140-43549509 for	chr16:44904406-44910775 for
chr16:42568304-42573757 for	chr16:43555718-43561171 for
chr16:42575602-42590856 for	chr16:44924275-44939529 for
chr16:42588903-42594253 for	chr16:43570107-43575457 for
chr16:42603151-42613071 for	chr16:45544414-45554334 for
chr16:42615423-42620795 for	chr16:44970159-44975531 for
chr16:42616692-42624529 for	chr16:45557955-45565792 for
chr16:42622535-42634719 for	chr16:44977271-44989455 for
chr16:42634720-42648240 for	chr16:47072921-47086441 for
chr16:42655055-42662640 for	chr16:45596318-45603903 for
chr16:45017377-45029370 for	chr16:45603904-45615897 for
chr16:42662641-42674634 for	chr16:45603904-45615897 for
chr16:42681568-42698236 for	chr16:47125877-47142545 for
chr16:42692873-42701551 for	chr16:43087138-43095816 for
chr16:42707258-42716462 for	chr16:47144850-47154054 for
chr16:42718989-42736622 for	chr16:45072549-45090182 for
chr16:42736623-42747060 for	chr16:43694178-43704615 for
chr16:42742481-42753297 for	chr16:45686699-45697515 for
chr16:42753298-42758836 for	chr16:47190890-47196428 for
chr16:42757430-42763157 for	chr16:45110990-45116717 for
chr16:43709109-43716519 for	chr16:45707376-45714786 for
chr16:45116718-45124128 for	chr16:45707376-45714786 for
chr16:42773477-42785759 for	chr16:45723807-45736089 for
chr16:45723807-45733632 for	chr16:47217181-47227006 for
chr16:42776943-42790465 for	chr16:43729006-43742528 for
chr16:43729006-43737822 for	chr16:45727273-45736089 for
chr16:42800294-42808726 for	chr16:45748220-45756652 for
chr16:42808727-42814145 for	chr16:45261704-45267122 for
chr16:42823733-42831117 for	chr16:44132182-44139566 for
chr16:42844838-42852115 for	chr16:46353208-46360485 for
chr16:42852722-42858352 for	chr16:46361092-46366722 for
chr16:42863147-42868640 for	chr16:46371517-46377010 for
chr16:42865511-42870942 for	chr16:47819858-47825289 for
chr16:42871638-42877369 for	chr16:44174008-44179739 for
chr16:42873528-42879185 for	chr16:47827875-47833532 for
chr16:42878562-42884729 for	chr16:46386932-46393099 for
chr16:42888426-42897833 for	chr16:47842747-47852154 for
chr16:44197390-44204972 for	chr16:46409505-46417087 for
chr16:42901135-42909880 for	chr16:46409505-46418250 for
chr16:42909116-42915197 for	chr16:42915251-42921332 for
chr16:42921282-42926788 for	chr16:46423419-46428925 for
chr16:42023210-42030445 for	chr16:46428927-46436162 for
chr16:42926790-42935735 for	chr16:46428927-46437872 for
chr16:42935736-42941094 for	chr16:46437873-46443231 for
chr16:42941095-42949728 for	chr16:46443232-46451865 for
chr16:42949729-42958063 for	chr16:46451866-46460200 for
chr16:46444727-46450887 for	chr16:46451866-46458026 for
chr16:42968156-42974320 for	chr16:44244741-44250905 for
chr16:42969388-42977516 for	chr16:46464389-46472517 for
chr16:42983031-42991900 for	chr16:46478032-46486901 for
chr16:42996272-43008569 for	chr16:46491273-46503570 for
chr16:41920162-41927823 for	chr16:43002093-43009754 for
chr16:41907498-41924198 for	chr16:43002093-43018793 for
chr16:42025119-42030495 for	chr16:43043096-43048472 for
chr16:42069046-42080983 for	chr16:44362795-44374732 for
chr16:43110149-43117135 for	chr16:44380855-44387841 for
chr16:43131099-43142486 for	chr16:46594864-46606251 for
chr16:43147411-43155583 for	chr16:46611176-46619348 for
chr16:43164723-43170722 for	chr16:44435429-44441428 for
chr16:43181820-43187195 for	chr16:44452526-44457901 for
chr16:43213240-43219402 for	chr16:44532153-44538315 for
chr16:43216375-43226138 for	chr16:46650867-46660630 for
chr16:43234493-43239910 for	chr16:46668998-46674415 for
chr16:43239911-43248000 for	chr16:46674416-46682505 for
chr16:44548955-44554487 for	chr16:46674416-46679948 for
chr16:43275059-43280935 for	chr16:44584103-44589979 for
chr16:44584103-44590527 for	chr16:44601777-44608201 for
chr16:43288377-43298586 for	chr16:46726529-46736738 for
chr16:43295174-43300175 for	chr16:44611571-44616572 for
chr16:42265897-42272445 for	chr16:43316889-43323437 for
chr16:43316889-43324022 for	chr16:46759635-46766768 for
chr16:42313932-42320353 for	chr16:43347435-43353856 for
chr16:43347435-43357175 for	chr16:44681370-44691110 for
chr16:43357622-43371992 for	chr16:46811744-46826114 for
chr16:43375818-43384203 for	chr16:44728893-44737278 for
chr16:43403518-43413998 for	chr16:46858444-46868924 for
chr16:43415799-43421998 for	chr16:46870725-46876924 for
chr16:42453799-42461314 for	chr16:43418161-43425676 for
chr16:42397639-42405154 for	chr16:43418161-43425676 for
chr16:44801199-44807377 for	chr16:45422308-45428486 for
chr16:43448142-43454320 for	chr16:45422308-45428486 for
chr16:43483696-43491784 for	chr16:46934630-46942718 for
chr16:43509277-43518064 for	chr16:46960211-46968998 for
chr16:43523739-43531432 for	chr16:44885005-44892698 for
chr16:44885005-44892698 for	chr16:46974673-46982366 for
chr16:43533655-43538899 for	chr16:46984589-46989833 for
chr16:43540806-43549509 for	chr16:44902072-44910775 for
chr16:43547952-43555213 for	chr16:46998886-47006147 for
chr16:43560920-43566295 for	chr16:47011854-47017229 for
chr16:43572061-43577286 for	chr16:44939530-44944755 for
chr16:43582626-43588629 for	chr16:44950095-44956098 for
chr16:43588618-43594606 for	chr16:44956680-44962668 for
chr16:43588949-43595991 for	chr16:45543538-45550580 for
chr16:43599715-43605767 for	chr16:47051242-47057294 for
chr16:43605775-43619799 for	chr16:47057302-47071326 for
chr16:43619800-43628731 for	chr16:47071327-47080258 for
chr16:43644032-43652811 for	chr16:47095559-47104338 for
chr16:43661198-43668177 for	chr16:47143321-47150300 for
chr16:45055876-45062000 for	chr16:47145450-47151574 for
chr16:42707858-42715281 for	chr16:47145450-47152873 for
chr16:42722439-42736622 for	chr16:45075999-45090182 for
chr16:43679994-43695362 for	chr16:45075999-45091367 for
chr16:43704080-43717841 for	chr16:45111689-45125450 for
chr16:43756589-43762035 for	chr16:45752452-45757898 for
chr16:43771142-43776182 for	chr16:45791453-45796493 for
chr16:43780110-43785217 for	chr16:47271751-47276858 for
chr16:43798148-43803314 for	chr16:45205757-45210923 for
chr16:43803311-43808992 for	chr16:45224063-45229744 for
chr16:43808993-43814010 for	chr16:45229745-45234762 for
chr16:43814011-43828435 for	chr16:45853577-45868001 for
chr16:45261243-45266347 for	chr16:47343451-47348555 for
chr16:43828436-43833710 for	chr16:47343451-47348725 for
chr16:43848352-43855537 for	chr16:45887918-45895103 for
chr16:43866395-43876238 for	chr16:45299284-45309127 for
chr16:45299284-45307794 for	chr16:47375298-47383808 for
chr16:43875737-43883717 for	chr16:45302540-45310520 for
chr16:43869651-43876238 for	chr16:45302540-45309127 for
chr16:43889062-43898065 for	chr16:45315865-45324868 for
chr16:43898790-43915904 for	chr16:45325619-45342733 for
chr16:43933982-43947246 for	chr16:47499573-47512837 for
chr16:43939961-43952929 for	chr16:45366790-45379758 for
chr16:45366790-45374075 for	chr16:47505552-47512837 for
chr16:43961656-43967610 for	chr16:47577786-47583740 for
chr16:45995974-46003474 for	chr16:46114586-46122086 for
chr16:43975176-43982676 for	chr16:46114586-46122086 for
chr16:43986684-43995942 for	chr16:46137942-46147200 for
chr16:46019330-46031271 for	chr16:46137942-46149883 for
